Latitude			Longitude
31.56				42.2
26.91				56.31
23.49				49.06
33.05				59.61
21.65				21.99
32.11				57.19
32.59				45.38
23.42				55.57
23.75				66.44
30.25				71.01
21.78				32.42
24.92				65.3
28.76				53.26
24.74				37.5
22.7				69.36
35.2				20.58
23.17				74.5
27.56				68.11
30.6				73.09
28.52				28.75
23.02				41.8
23.94				73.41
29.71				30.15
29.45				20.91
29.17				74.92
30.56				77.04
22.35				47.9
30.87				37.06
29.4				48.15
22.27				76.06
35.37				14.79
27.28				45.76
24.45				71.26
23.4				53.64
24.27				33.19
33.26				37.81
22.16				74.49
24.4				20.98
29.3				66.39
23.08				69.37
55.46				58.87
50.98				59.39
56.2				65.98
56.89				48.3
51.31				45.05
55.7				66.63
54.79				67.58
55.07				55.0
55.55				48.62
51.06				47.3
55.07				55.86
53.0				56.48
54.02				62.01
58.43				52.06
55.06				57.99
57.37				66.38
56.18				61.21
57.71				61.29
52.62				44.95
52.01				55.4
57.33				49.14
54.67				51.23
57.81				45.16
51.73				50.18
58.36				61.94
52.71				61.92
58.59				48.94
57.91				62.47
56.97				60.6
52.36				57.58
50.62				60.55
51.95				45.76
50.95				44.83
52.37				68.27
55.53				52.44
52.7				61.05
53.53				53.21
58.59				52.29
57.43				45.45
51.65				64.12
44.74				33.17
38.46				30.72
45.82				30.89
49.22				26.41
51.65				33.79
48.17				34.61
44.89				40.18
49.95				36.98
42.03				36.6
39.95				27.64
41.3				33.3
45.41				27.85
46.64				33.3
40.86				38.97
49.55				26.29
42.53				26.02
50.41				39.94
41.49				29.22
42.93				29.78
51.15				25.67
49.92				26.66
49.59				26.13
45.71				25.92
48.88				35.72
50.89				37.45
46.31				34.4
45.79				34.33
46.44				31.34
39.36				29.82
41.49				25.44
41.33				37.28
44.95				36.95
43.46				27.43
38.95				27.54
38.85				28.73
42.52				33.75
38.48				25.22
43.13				31.32
44.98				29.45
41.43				27.13
77.56				64.79
45.21				37.26
64.55				52.67
45.47				79.78
64.4				44.43
58.2				33.51
68.93				40.4
74.31				57.82
62.84				69.53
55.35				24.7
61.82				22.86
69.1				67.53
60.69				57.42
74.96				35.78
64.14				81.08
51.52				66.57
70.67				59.62
67.11				62.1
68.13				26.29
70.34				49.87
73.07				70.09
76.17				41.91
52.44				71.87
59.59				35.64
48.44				67.1
75.69				31.22
75.21				48.71
71.1				61.94
69.39				23.84
66.69				40.56
48.2				60.94
45.9				83.0
65.4				53.18
64.68				26.56
66.79				66.93
55.81				76.05
63.42				66.04
67.68				66.87
55.19				73.73
66.9				27.02
38.77				42.55
21.11				34.13
48.5				35.84
21.96				39.94
20.37				28.06
41.67				18.71
45.18				15.4
31.42				23.14
40.63				14.41
49.36				18.85
49.27				12.91
21.25				33.9
44.19				43.63
48.83				13.77
32.22				16.55
42.68				17.03
44.33				13.07
37.16				22.26
37.68				28.81
40.97				38.16
26.19				38.98
36.32				43.03
34.96				44.52
34.35				31.85
34.88				30.05
19.88				22.75
52.87				10.41
54.29				34.49
42.82				14.84
48.54				21.89
26.15				13.48
35.81				29.39
53.73				25.31
42.56				24.36
52.35				23.76
36.04				31.32
27.57				24.26
53.1				40.98
38.7				32.2
35.2				23.24
